"workerid","rt","trial_type","selection","pass","response","condition"
123,15897,"catch","rate how often a typical person does an action",0,0,"observation"
124,36235,"catch","read a conversation between friends and answer a question about the person they are talking about",0,2,"observation"
125,10019,"catch","rate how often a typical person does an action",1,0,"baseline"
126,22239,"catch","rate how often a typical person does an action",1,0,"baseline"
127,11010,"catch","rate how often a typical person does an action",1,0,"baseline"
128,3890,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
129,6288,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
130,11975,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
131,18050,"catch","read a fact about a person and judge how frequently they do something",0,1,"baseline"
132,14509,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
133,11961,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
134,13608,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
135,3611,"catch","rate how often a typical person does an action",1,0,"baseline"
136,7120,"catch","rate how often a typical person does an action",0,0,"observation"
137,16656,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
138,16675,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
139,9198,"catch","read a fact about a person and judge how frequently they do something",0,1,"communication"
140,7497,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
141,34643,"catch","rate how often a typical person does an action",1,0,"baseline"
142,12270,"catch","rate how often a typical person does an action",1,0,"baseline"
143,11179,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
144,8506,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
145,19843,"catch","rate how often a typical person does an action",0,0,"observation"
146,7025,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
147,16370,"catch","rate how often a typical person does an action",1,0,"baseline"
148,14849,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
149,14128,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
