"workerid","rt","trial_type","trial_num","targetSentence","log_dayrate","interval","observationSentence","past","item","condition","ntimes","dayrate","utt","utt_interval"
1,11542,"propensity_judgment",1,"You overhear two friends talking. <br>One of them says to the other, ""Elisa drank coffee today.""",0,"day","Elisa drank coffee today.","drank coffee","drink coffee","communication",1,1,"Elisa drank coffee today.",day
1,10035,"propensity_judgment",2,"You overhear two friends talking. <br>One of them says to the other, ""Christopher went skiing this year.""",-5.89989735358,"year","Christopher went skiing this year.","went skiing","go skiing","communication",1,0.0027397260274,"Christopher went skiing this year.",year
1,12692,"propensity_judgment",3,"You overhear two friends talking. <br>One of them says to the other, ""Nicole wore a shirt today.""",0,"day","Nicole wore a shirt today.","wore a shirt","wear a shirt","communication",1,1,"Nicole wore a shirt today.",day
1,6662,"propensity_judgment",4,"You overhear two friends talking. <br>One of them says to the other, ""John paid his taxes this year.""",-5.89989735358,"year","John paid his taxes this year.","paid their taxes","pay their taxes","communication",1,0.0027397260274,"John paid his taxes this year.",year
1,10102,"propensity_judgment",5,"You overhear two friends talking. <br>One of them says to the other, ""Hillary wore tie-dye today.""",-1.94591014906,"week","Hillary wore tie-dye today.","wore tie-dye","wear tie-dye","communication",1,0.142857142857,"Hillary wore tie-dye today.",day
1,7619,"propensity_judgment",6,"You overhear two friends talking. <br>One of them says to the other, ""Sophia exercised this month.""",-3.40119738166,"month","Sophia exercised this month.","exercised","exercise","communication",1,0.0333333333333,"Sophia exercised this month.",month
1,17482,"propensity_judgment",7,"You overhear two friends talking. <br>One of them says to the other, ""Anthony washed his dishes today.""",-0.336472236621,"week","Anthony washed his dishes today.","washed their dishes","wash their dishes","communication",5,0.714285714286,"Anthony washed his dishes today.",day
1,5614,"propensity_judgment",8,"You overhear two friends talking. <br>One of them says to the other, ""Vince ate breakfast today.""",0,"day","Vince ate breakfast today.","ate breakfast","eat breakfast","communication",1,1,"Vince ate breakfast today.",day
1,5681,"propensity_judgment",9,"You overhear two friends talking. <br>One of them says to the other, ""Eric bought his own groceries this week.""",-1.94591014906,"week","Eric bought his own groceries this week.","bought their own groceries","buy their own groceries","communication",1,0.142857142857,"Eric bought his own groceries this week.",week
1,4285,"propensity_judgment",10,"You overhear two friends talking. <br>One of them says to the other, ""Melinda wore shoes today.""",0,"day","Melinda wore shoes today.","wore shoes","wear shoes","communication",1,1,"Melinda wore shoes today.",day
1,14291,"propensity_judgment",11,"You overhear two friends talking. <br>One of them says to the other, ""Michelle washed her hair this week.""",-0.336472236621,"week","Michelle washed her hair this week.","washed their hair","wash their hair","communication",5,0.714285714286,"Michelle washed her hair this week.",week
1,6071,"propensity_judgment",12,"You overhear two friends talking. <br>One of them says to the other, ""Tim wore a hat today.""",-1.2527629685,"week","Tim wore a hat today.","wore a hat","wear a hat","communication",2,0.285714285714,"Tim wore a hat today.",day
1,5379,"propensity_judgment",13,"You overhear two friends talking. <br>One of them says to the other, ""Julia changed her bedsheets this week.""",-1.94591014906,"week","Julia changed her bedsheets this week.","changed their bedsheets","change their bedsheets","communication",1,0.142857142857,"Julia changed her bedsheets this week.",week
1,4552,"propensity_judgment",14,"You overhear two friends talking. <br>One of them says to the other, ""Jacob had a birthday party this year.""",-5.89989735358,"year","Jacob had a birthday party this year.","had a birthday party","have a birthday party","communication",1,0.0027397260274,"Jacob had a birthday party this year.",year
1,5413,"propensity_judgment",15,"You overhear two friends talking. <br>One of them says to the other, ""Stephen went outside today.""",0,"day","Stephen went outside today.","went outside","go outside","communication",1,1,"Stephen went outside today.",day
1,3763,"propensity_judgment",16,"You overhear two friends talking. <br>One of them says to the other, ""Jessica went on a hike this month.""",-3.40119738166,"month","Jessica went on a hike this month.","went on a hike","go on a hike","communication",1,0.0333333333333,"Jessica went on a hike this month.",month
1,4666,"propensity_judgment",17,"You overhear two friends talking. <br>One of them says to the other, ""Janet drove a car today.""",0.69314718056,"day","Janet drove a car today.","drove a car","drive a car","communication",2,2,"Janet drove a car today.",day
1,6477,"propensity_judgment",18,"You overhear two friends talking. <br>One of them says to the other, ""Martin ate meat today.""",0,"day","Martin ate meat today.","ate meat","eat meat","communication",1,1,"Martin ate meat today.",day
1,6290,"propensity_judgment",19,"You overhear two friends talking. <br>One of them says to the other, ""Kelly went to a Renaissance fair this year.""",-5.89989735358,"year","Kelly went to a Renaissance fair this year.","went to a Renaissance fair","go to Renaissance fairs","communication",1,0.0027397260274,"Kelly went to a Renaissance fair this year.",year
1,7004,"propensity_judgment",20,"You overhear two friends talking. <br>One of them says to the other, ""Ashley took dance lessons this week.""",-1.2527629685,"week","Ashley took dance lessons this week.","took dance lessons","take dance lessons","communication",2,0.285714285714,"Ashley took dance lessons this week.",week
1,7639,"propensity_judgment",21,"You overhear two friends talking. <br>One of them says to the other, ""Robert used a cell phone today.""",2.30258509299,"day","Robert used a cell phone today.","used a cell phone","use a cell phone","communication",10,10,"Robert used a cell phone today.",day
1,8262,"propensity_judgment",22,"You overhear two friends talking. <br>One of them says to the other, ""Crystal drank lemonade today.""",-1.2527629685,"week","Crystal drank lemonade today.","drank lemonade","drink lemonade","communication",2,0.285714285714,"Crystal drank lemonade today.",day
1,6353,"propensity_judgment",23,"You overhear two friends talking. <br>One of them says to the other, ""Jackie ate pasta today.""",-1.2527629685,"week","Jackie ate pasta today.","ate pasta","eat pasta","communication",2,0.285714285714,"Jackie ate pasta today.",day
1,3615,"propensity_judgment",24,"You overhear two friends talking. <br>One of them says to the other, ""Daniel wore glasses today.""",0,"day","Daniel wore glasses today.","wore glasses","wear glasses","communication",1,1,"Daniel wore glasses today.",day
1,7626,"propensity_judgment",25,"You overhear two friends talking. <br>One of them says to the other, ""Claire took a vacation this year.""",-7.50933526602,"5 years","Claire took a vacation this year.","took a vacation","take a vacation","communication",1,0.000547945205479,"Claire took a vacation this year.",year
2,17315,"propensity_judgment",1,"You overhear two friends talking. <br>One of them says to the other, ""John wore tie-dye today.""",-1.94591014906,"week","John wore tie-dye today.","wore tie-dye","wear tie-dye","communication",1,0.142857142857,"John wore tie-dye today.",day
2,11500,"propensity_judgment",2,"You overhear two friends talking. <br>One of them says to the other, ""George paid his taxes this year.""",-5.89989735358,"year","George paid his taxes this year.","paid their taxes","pay their taxes","communication",1,0.0027397260274,"George paid his taxes this year.",year
2,7197,"propensity_judgment",3,"You overhear two friends talking. <br>One of them says to the other, ""Vince ate meat today.""",-1.94591014906,"week","Vince ate meat today.","ate meat","eat meat","communication",1,0.142857142857,"Vince ate meat today.",day
2,13334,"propensity_judgment",4,"You overhear two friends talking. <br>One of them says to the other, ""Jackie washed her hair this week.""",-1.94591014906,"week","Jackie washed her hair this week.","washed their hair","wash their hair","communication",1,0.142857142857,"Jackie washed her hair this week.",week
2,6783,"propensity_judgment",5,"You overhear two friends talking. <br>One of them says to the other, ""Amber bought her own groceries this week.""",-1.94591014906,"week","Amber bought her own groceries this week.","bought their own groceries","buy their own groceries","communication",1,0.142857142857,"Amber bought her own groceries this week.",week
2,14235,"propensity_judgment",6,"You overhear two friends talking. <br>One of them says to the other, ""Shannon wore shoes today.""",-1.94591014906,"week","Shannon wore shoes today.","wore shoes","wear shoes","communication",1,0.142857142857,"Shannon wore shoes today.",day
2,8687,"propensity_judgment",7,"You overhear two friends talking. <br>One of them says to the other, ""Monica ate breakfast today.""",0,"day","Monica ate breakfast today.","ate breakfast","eat breakfast","communication",1,1,"Monica ate breakfast today.",day
2,4332,"propensity_judgment",8,"You overhear two friends talking. <br>One of them says to the other, ""Rebecca ate pasta today.""",-1.94591014906,"week","Rebecca ate pasta today.","ate pasta","eat pasta","communication",1,0.142857142857,"Rebecca ate pasta today.",day
2,6116,"propensity_judgment",9,"You overhear two friends talking. <br>One of them says to the other, ""Tom went skiing this year.""",-5.89989735358,"year","Tom went skiing this year.","went skiing","go skiing","communication",1,0.0027397260274,"Tom went skiing this year.",year
2,15449,"propensity_judgment",10,"You overhear two friends talking. <br>One of them says to the other, ""Natalie took dance lessons this week.""",-1.2527629685,"week","Natalie took dance lessons this week.","took dance lessons","take dance lessons","communication",2,0.285714285714,"Natalie took dance lessons this week.",week
2,7851,"propensity_judgment",11,"You overhear two friends talking. <br>One of them says to the other, ""Daniel went to a Renaissance fair this year.""",-5.89989735358,"year","Daniel went to a Renaissance fair this year.","went to a Renaissance fair","go to Renaissance fairs","communication",1,0.0027397260274,"Daniel went to a Renaissance fair this year.",year
2,10767,"propensity_judgment",12,"You overhear two friends talking. <br>One of them says to the other, ""Martin washed his dishes today.""",0,"day","Martin washed his dishes today.","washed their dishes","wash their dishes","communication",1,1,"Martin washed his dishes today.",day
2,9774,"propensity_judgment",13,"You overhear two friends talking. <br>One of them says to the other, ""Hillary went on a hike this month.""",-3.40119738166,"month","Hillary went on a hike this month.","went on a hike","go on a hike","communication",1,0.0333333333333,"Hillary went on a hike this month.",month
2,6296,"propensity_judgment",14,"You overhear two friends talking. <br>One of them says to the other, ""Ronald drank lemonade today.""",-1.94591014906,"week","Ronald drank lemonade today.","drank lemonade","drink lemonade","communication",1,0.142857142857,"Ronald drank lemonade today.",day
2,5368,"propensity_judgment",15,"You overhear two friends talking. <br>One of them says to the other, ""Laura used a cell phone today.""",0,"day","Laura used a cell phone today.","used a cell phone","use a cell phone","communication",1,1,"Laura used a cell phone today.",day
2,14215,"propensity_judgment",16,"You overhear two friends talking. <br>One of them says to the other, ""Ben exercised this month.""",-2.30258509299,"month","Ben exercised this month.","exercised","exercise","communication",3,0.1,"Ben exercised this month.",month
2,8286,"propensity_judgment",17,"You overhear two friends talking. <br>One of them says to the other, ""Anthony went outside today.""",0.69314718056,"day","Anthony went outside today.","went outside","go outside","communication",2,2,"Anthony went outside today.",day
2,5698,"propensity_judgment",18,"You overhear two friends talking. <br>One of them says to the other, ""Bridgette drove a car today.""",0,"day","Bridgette drove a car today.","drove a car","drive a car","communication",1,1,"Bridgette drove a car today.",day
2,10401,"propensity_judgment",19,"You overhear two friends talking. <br>One of them says to the other, ""Janet drank coffee today.""",0,"day","Janet drank coffee today.","drank coffee","drink coffee","communication",1,1,"Janet drank coffee today.",day
2,5634,"propensity_judgment",20,"You overhear two friends talking. <br>One of them says to the other, ""Michael changed his bedsheets this week.""",-1.94591014906,"week","Michael changed his bedsheets this week.","changed their bedsheets","change their bedsheets","communication",1,0.142857142857,"Michael changed his bedsheets this week.",week
2,5906,"propensity_judgment",21,"You overhear two friends talking. <br>One of them says to the other, ""William had a birthday party this year.""",-5.89989735358,"year","William had a birthday party this year.","had a birthday party","have a birthday party","communication",1,0.0027397260274,"William had a birthday party this year.",year
2,6409,"propensity_judgment",22,"You overhear two friends talking. <br>One of them says to the other, ""Lucas wore a shirt today.""",0,"day","Lucas wore a shirt today.","wore a shirt","wear a shirt","communication",1,1,"Lucas wore a shirt today.",day
2,4183,"propensity_judgment",23,"You overhear two friends talking. <br>One of them says to the other, ""Seth wore a hat today.""",-1.94591014906,"week","Seth wore a hat today.","wore a hat","wear a hat","communication",1,0.142857142857,"Seth wore a hat today.",day
2,10850,"propensity_judgment",24,"You overhear two friends talking. <br>One of them says to the other, ""Gabriel wore glasses today.""",0,"day","Gabriel wore glasses today.","wore glasses","wear glasses","communication",1,1,"Gabriel wore glasses today.",day
2,6076,"propensity_judgment",25,"You overhear two friends talking. <br>One of them says to the other, ""Fred took a vacation this year.""",-5.89989735358,"year","Fred took a vacation this year.","took a vacation","take a vacation","communication",1,0.0027397260274,"Fred took a vacation this year.",year
3,23864,"propensity_judgment",1,"You overhear two friends talking. <br>One of them says to the other, ""Kim wore tie-dye today.""",-3.40119738166,"month","Kim wore tie-dye today.","wore tie-dye","wear tie-dye","communication",1,0.0333333333333,"Kim wore tie-dye today.",day
3,9155,"propensity_judgment",2,"You overhear two friends talking. <br>One of them says to the other, ""Ben wore a hat today.""",-3.40119738166,"month","Ben wore a hat today.","wore a hat","wear a hat","communication",1,0.0333333333333,"Ben wore a hat today.",day
3,9814,"propensity_judgment",3,"You overhear two friends talking. <br>One of them says to the other, ""Michelle wore glasses today.""",-1.09861228867,"month","Michelle wore glasses today.","wore glasses","wear glasses","communication",10,0.333333333333,"Michelle wore glasses today.",day
3,8006,"propensity_judgment",4,"You overhear two friends talking. <br>One of them says to the other, ""John took a vacation this year.""",-5.89989735358,"year","John took a vacation this year.","took a vacation","take a vacation","communication",1,0.0027397260274,"John took a vacation this year.",year
3,3846,"propensity_judgment",5,"You overhear two friends talking. <br>One of them says to the other, ""Linda paid her taxes this year.""",-5.89989735358,"year","Linda paid her taxes this year.","paid their taxes","pay their taxes","communication",1,0.0027397260274,"Linda paid her taxes this year.",year
3,2503,"propensity_judgment",6,"You overhear two friends talking. <br>One of them says to the other, ""Tom ate breakfast today.""",0,"day","Tom ate breakfast today.","ate breakfast","eat breakfast","communication",1,1,"Tom ate breakfast today.",day
3,3144,"propensity_judgment",7,"You overhear two friends talking. <br>One of them says to the other, ""Ted had a birthday party this year.""",-5.89989735358,"year","Ted had a birthday party this year.","had a birthday party","have a birthday party","communication",1,0.0027397260274,"Ted had a birthday party this year.",year
3,31247,"propensity_judgment",8,"You overhear two friends talking. <br>One of them says to the other, ""Kelly went outside today.""",-0.559615787935,"week","Kelly went outside today.","went outside","go outside","communication",4,0.571428571429,"Kelly went outside today.",day
3,6477,"propensity_judgment",9,"You overhear two friends talking. <br>One of them says to the other, ""Stephen took dance lessons this week.""",-1.94591014906,"week","Stephen took dance lessons this week.","took dance lessons","take dance lessons","communication",1,0.142857142857,"Stephen took dance lessons this week.",week
3,9297,"propensity_judgment",10,"You overhear two friends talking. <br>One of them says to the other, ""Claire wore a shirt today.""",0,"day","Claire wore a shirt today.","wore a shirt","wear a shirt","communication",1,1,"Claire wore a shirt today.",day
3,4264,"propensity_judgment",11,"You overhear two friends talking. <br>One of them says to the other, ""Tim ate pasta today.""",-0.847297860387,"week","Tim ate pasta today.","ate pasta","eat pasta","communication",3,0.428571428571,"Tim ate pasta today.",day
3,2799,"propensity_judgment",12,"You overhear two friends talking. <br>One of them says to the other, ""Veronica went to a Renaissance fair this year.""",-5.89989735358,"year","Veronica went to a Renaissance fair this year.","went to a Renaissance fair","go to Renaissance fairs","communication",1,0.0027397260274,"Veronica went to a Renaissance fair this year.",year
3,5137,"propensity_judgment",13,"You overhear two friends talking. <br>One of them says to the other, ""Alexander wore shoes today.""",0,"day","Alexander wore shoes today.","wore shoes","wear shoes","communication",1,1,"Alexander wore shoes today.",day
3,5816,"propensity_judgment",14,"You overhear two friends talking. <br>One of them says to the other, ""Gabriel went on a hike this month.""",-3.40119738166,"month","Gabriel went on a hike this month.","went on a hike","go on a hike","communication",1,0.0333333333333,"Gabriel went on a hike this month.",month
3,7824,"propensity_judgment",15,"You overhear two friends talking. <br>One of them says to the other, ""Nicole drove a car today.""",-1.2527629685,"week","Nicole drove a car today.","drove a car","drive a car","communication",2,0.285714285714,"Nicole drove a car today.",day
3,5231,"propensity_judgment",16,"You overhear two friends talking. <br>One of them says to the other, ""Robert used a cell phone today.""",-0.847297860387,"week","Robert used a cell phone today.","used a cell phone","use a cell phone","communication",3,0.428571428571,"Robert used a cell phone today.",day
3,10628,"propensity_judgment",17,"You overhear two friends talking. <br>One of them says to the other, ""Sophia drank lemonade today.""",-1.2527629685,"week","Sophia drank lemonade today.","drank lemonade","drink lemonade","communication",2,0.285714285714,"Sophia drank lemonade today.",day
3,4072,"propensity_judgment",18,"You overhear two friends talking. <br>One of them says to the other, ""Lucas washed his dishes today.""",-0.336472236621,"week","Lucas washed his dishes today.","washed their dishes","wash their dishes","communication",5,0.714285714286,"Lucas washed his dishes today.",day
3,3451,"propensity_judgment",19,"You overhear two friends talking. <br>One of them says to the other, ""Derrick bought his own groceries this week.""",-1.94591014906,"week","Derrick bought his own groceries this week.","bought their own groceries","buy their own groceries","communication",1,0.142857142857,"Derrick bought his own groceries this week.",week
3,8385,"propensity_judgment",20,"You overhear two friends talking. <br>One of them says to the other, ""Stephen drank coffee today.""",-0.336472236621,"week","Stephen drank coffee today.","drank coffee","drink coffee","communication",5,0.714285714286,"Stephen drank coffee today.",day
3,7871,"propensity_judgment",21,"You overhear two friends talking. <br>One of them says to the other, ""Amber washed her hair this week.""",-1.94591014906,"week","Amber washed her hair this week.","washed their hair","wash their hair","communication",1,0.142857142857,"Amber washed her hair this week.",week
3,3285,"propensity_judgment",22,"You overhear two friends talking. <br>One of them says to the other, ""Tina exercised this month.""",-3.40119738166,"month","Tina exercised this month.","exercised","exercise","communication",1,0.0333333333333,"Tina exercised this month.",month
3,4257,"propensity_judgment",23,"You overhear two friends talking. <br>One of them says to the other, ""Jessica ate meat today.""",-1.2527629685,"week","Jessica ate meat today.","ate meat","eat meat","communication",2,0.285714285714,"Jessica ate meat today.",day
3,7885,"propensity_judgment",24,"You overhear two friends talking. <br>One of them says to the other, ""Jacob changed his bedsheets this week.""",-3.40119738166,"month","Jacob changed his bedsheets this week.","changed their bedsheets","change their bedsheets","communication",1,0.0333333333333,"Jacob changed his bedsheets this week.",week
3,3153,"propensity_judgment",25,"You overhear two friends talking. <br>One of them says to the other, ""Greg went skiing this year.""",-5.89989735358,"year","Greg went skiing this year.","went skiing","go skiing","communication",1,0.0027397260274,"Greg went skiing this year.",year
4,35363,"propensity_judgment",1,"You overhear two friends talking. <br>One of them says to the other, ""Claire had a birthday party this year.""",-5.89989735358,"year","Claire had a birthday party this year.","had a birthday party","have a birthday party","communication",1,0.0027397260274,"Claire had a birthday party this year.",year
4,55938,"propensity_judgment",2,"You overhear two friends talking. <br>One of them says to the other, ""Amber went outside today.""",-2.90416508003,"year","Amber went outside today.","went outside","go outside","communication",20,0.0547945205479,"Amber went outside today.",day
4,11844,"propensity_judgment",3,"You overhear two friends talking. <br>One of them says to the other, ""Vince took dance lessons this week.""",-1.94591014906,"week","Vince took dance lessons this week.","took dance lessons","take dance lessons","communication",1,0.142857142857,"Vince took dance lessons this week.",week
4,10184,"propensity_judgment",4,"You overhear two friends talking. <br>One of them says to the other, ""Linda used a cell phone today.""",0,"day","Linda used a cell phone today.","used a cell phone","use a cell phone","communication",1,1,"Linda used a cell phone today.",day
4,6265,"propensity_judgment",5,"You overhear two friends talking. <br>One of them says to the other, ""Fred changed his bedsheets this week.""",-1.94591014906,"week","Fred changed his bedsheets this week.","changed their bedsheets","change their bedsheets","communication",1,0.142857142857,"Fred changed his bedsheets this week.",week
4,4962,"propensity_judgment",6,"You overhear two friends talking. <br>One of them says to the other, ""Michelle washed her dishes today.""",0,"day","Michelle washed her dishes today.","washed their dishes","wash their dishes","communication",1,1,"Michelle washed her dishes today.",day
4,3598,"propensity_judgment",7,"You overhear two friends talking. <br>One of them says to the other, ""Daniel wore glasses today.""",0,"day","Daniel wore glasses today.","wore glasses","wear glasses","communication",1,1,"Daniel wore glasses today.",day
4,3609,"propensity_judgment",8,"You overhear two friends talking. <br>One of them says to the other, ""Jessica went to a Renaissance fair this year.""",-5.89989735358,"year","Jessica went to a Renaissance fair this year.","went to a Renaissance fair","go to Renaissance fairs","communication",1,0.0027397260274,"Jessica went to a Renaissance fair this year.",year
4,3305,"propensity_judgment",9,"You overhear two friends talking. <br>One of them says to the other, ""Alexander went on a hike this month.""",-3.40119738166,"month","Alexander went on a hike this month.","went on a hike","go on a hike","communication",1,0.0333333333333,"Alexander went on a hike this month.",month
4,3408,"propensity_judgment",10,"You overhear two friends talking. <br>One of them says to the other, ""Hillary bought her own groceries this week.""",-1.94591014906,"week","Hillary bought her own groceries this week.","bought their own groceries","buy their own groceries","communication",1,0.142857142857,"Hillary bought her own groceries this week.",week
4,3758,"propensity_judgment",11,"You overhear two friends talking. <br>One of them says to the other, ""Christopher wore shoes today.""",0,"day","Christopher wore shoes today.","wore shoes","wear shoes","communication",1,1,"Christopher wore shoes today.",day
4,2406,"propensity_judgment",12,"You overhear two friends talking. <br>One of them says to the other, ""Robert washed his hair this week.""",-1.94591014906,"week","Robert washed his hair this week.","washed their hair","wash their hair","communication",1,0.142857142857,"Robert washed his hair this week.",week
4,2581,"propensity_judgment",13,"You overhear two friends talking. <br>One of them says to the other, ""Cameron wore tie-dye today.""",0,"day","Cameron wore tie-dye today.","wore tie-dye","wear tie-dye","communication",1,1,"Cameron wore tie-dye today.",day
4,2507,"propensity_judgment",14,"You overhear two friends talking. <br>One of them says to the other, ""Ashley wore a hat today.""",0,"day","Ashley wore a hat today.","wore a hat","wear a hat","communication",1,1,"Ashley wore a hat today.",day
4,3412,"propensity_judgment",15,"You overhear two friends talking. <br>One of them says to the other, ""Brian drove a car today.""",0,"day","Brian drove a car today.","drove a car","drive a car","communication",1,1,"Brian drove a car today.",day
4,2165,"propensity_judgment",16,"You overhear two friends talking. <br>One of them says to the other, ""Alicia ate meat today.""",0,"day","Alicia ate meat today.","ate meat","eat meat","communication",1,1,"Alicia ate meat today.",day
4,2062,"propensity_judgment",17,"You overhear two friends talking. <br>One of them says to the other, ""Derrick ate pasta today.""",0,"day","Derrick ate pasta today.","ate pasta","eat pasta","communication",1,1,"Derrick ate pasta today.",day
4,2170,"propensity_judgment",18,"You overhear two friends talking. <br>One of them says to the other, ""Lee drank lemonade today.""",0,"day","Lee drank lemonade today.","drank lemonade","drink lemonade","communication",1,1,"Lee drank lemonade today.",day
4,3238,"propensity_judgment",19,"You overhear two friends talking. <br>One of them says to the other, ""Josh ate breakfast today.""",0,"day","Josh ate breakfast today.","ate breakfast","eat breakfast","communication",1,1,"Josh ate breakfast today.",day
4,2334,"propensity_judgment",20,"You overhear two friends talking. <br>One of them says to the other, ""Seth drank coffee today.""",0,"day","Seth drank coffee today.","drank coffee","drink coffee","communication",1,1,"Seth drank coffee today.",day
4,2585,"propensity_judgment",21,"You overhear two friends talking. <br>One of them says to the other, ""Esther paid her taxes this year.""",-5.89989735358,"year","Esther paid her taxes this year.","paid their taxes","pay their taxes","communication",1,0.0027397260274,"Esther paid her taxes this year.",year
